,Titles,Tv,Ep,SD,Ed,Ratings,Genres,Source,Demographic,Producers
206,Kaguya-sama wa Kokurasetai: Ultra Romantic,TV,13 eps,Apr 2022, Jun 2022,9.01,"['Comedy', 'Romance', 'School', 'Seinen']",Manga,Seinen,"['Aniplex', 'Mainichi Broadcasting System', 'Magic Capsule', 'Shueisha', 'JR East Marketing & Communications']"
207,Gintama.,TV,12 eps,Jan 2017, Mar 2017,8.98,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",Manga,Shounen,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha']"
208,Fruits Basket: The Final,TV,13 eps,Apr 2021, Jun 2021,8.97,"['Drama', 'Romance', 'Supernatural', 'Shoujo']",Manga,Shoujo,"['TV Tokyo', 'TV Osaka', 'Nihon Ad Systems', 'Hakusensha', 'Avex Pictures', 'TMS Music', '8PAN']"
209,Monogatari Series: Off & Monster Season,,,Jul 2024,,8.97,"['Comedy', 'Mystery', 'Supernatural', 'Vampire']",Light novel,Not specified,"['Aniplex', 'Kodansha', 'Rakuonsha']"
210,Koe no Katachi,Movie,,Sep 2016, Sep 2016,8.93,"['Award Winning', 'Drama', 'Romantic Subtext', 'Shounen']",Manga,Shounen,"['Shochiku', 'Pony Canyon', 'Kodansha', 'ABC Animation', 'Quaras']"
211,Clannad: After Story,TV,24 eps,Oct 2008, Mar 2009,8.93,"['Drama', 'Romance', 'Supernatural']",Drama,Not specified,"['Pony Canyon', 'TBS', 'Rakuonsha', 'Animation Do']"
212,Gintama,TV,,Apr 2006, Mar 2010,8.93,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",Manga,Shounen,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Trinity Sound', 'Audio Highs', 'Miracle Robo', 'Shueisha']"
213,3-gatsu no Lion 2nd Season,TV,22 eps,Oct 2017, Mar 2018,8.92,"['Drama', 'Childcare', 'Strategy Game', 'Seinen']",Manga,Seinen,"['Aniplex', 'Dentsu', 'NHK', 'Hakusensha', 'Asmik Ace', ""Toy's Factory""]"
214,Code Geass: Hangyaku no Lelouch R2,TV,25 eps,Apr 2008, Sep 2008,8.91,"['Action', 'Award Winning', 'Drama', 'Sci-Fi', 'Mecha', 'Military', 'Super Power']",Action,Not specified,"['Bandai Visual', 'Mainichi Broadcasting System', 'Bandai', 'Bandai Namco Entertainment', 'Hakuhodo DY Media Partners']"
215,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,,Jul 2013, Jul 2013,8.90,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Time Travel', 'Shounen']",Manga,Shounen,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Bandai', 'Warner Bros. Japan', 'Shueisha']"
